"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20"
"132" "ARN1" "GO:0016023" "GO:0016021" "GO:0005768" "GO:0005737" "GO:0005634" "GO:0005886" NA NA NA NA NA NA NA NA NA NA NA NA NA
"133" "ARN2" "GO:0016021" "GO:0005886" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"134" "ARO3" "GO:0005739" "GO:0005737" "GO:0005634" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"135" "ARO4" "GO:0005634" "GO:0005737" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"136" "ARO7" "GO:0005634" "GO:0005737" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"137" "ARO9" "GO:0005737" "GO:0005634" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"138" "ARP1" "GO:0005869" "GO:0005816" "GO:0000235" "GO:0005938" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"139" "ARP10" "GO:0005869" "GO:0005737" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"140" "ARP2" "GO:0005739" "GO:0005885" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"141" "ARP3" "GO:0005886" "GO:0005885" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"142" "ARP4" "GO:0005634" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"143" "ARP5" "GO:0005634" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"144" "ARP6" "GO:0000812" "GO:0005737" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"145" "ARP7" "GO:0005634" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"146" "ARP8" "GO:0005634" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"147" "ARP9" "GO:0005634" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"148" "ARR1" "GO:0005634" "GO:0005737" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"149" "ARR3" "GO:0016021" "GO:0005886" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"150" "ARV1" "GO:0005783" "GO:0016021" "GO:0032541" "GO:0005794" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"151" "ARX1" "GO:0005634" "GO:0005737" "GO:0030687" "GO:0022625" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"152" "ASC1" "GO:0005737" "GO:0022627" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"153" "ASE1" "GO:0051233" "GO:0015630" "GO:0005737" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"154" "ASF1" "GO:0005634" "GO:0005829" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"155" "ASF2" "GO:0005634" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"156" "ASH1" "GO:0005634" "GO:0005933" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"157" "ASI1" "GO:0097658" "GO:0016021" "GO:0005637" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"158" "ASI2" "GO:0005637" "GO:0097658" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"159" "ASI3" "GO:0016021" "GO:0005637" "GO:0097658" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"160" "ASK10" "GO:0005737" "GO:0016591" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"161" "ASM4" "GO:0016021" "GO:0044613" "GO:0005643" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"162" "ASP3-1" "GO:0005635" "GO:0005783" "GO:0030287" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"163" "ASR1" "GO:0005737" "GO:0005634" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"164" "AST1" "GO:0005794" "GO:0005886" "GO:0005770" "GO:0045121" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"165" "ATC1" "GO:0005634" "GO:0005737" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"166" "ATF2" "GO:0005737" "GO:0030176" "GO:0005783" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"167" "ATG1" "GO:0005829" "GO:0000407" "GO:0034273" "GO:0000421" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"168" "ATG11" "GO:0000407" "GO:0019898" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"169" "ATG12" "GO:0000407" "GO:0034274" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"170" "ATG13" "GO:0034273" "GO:0019898" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"171" "ATG14" "GO:0000407" "GO:0000329" "GO:0034271" "GO:0019898" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"172" "ATG15" "GO:0016021" "GO:0005775" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"173" "ATG16" "GO:0034274" "GO:0000407" "GO:0005634" "GO:0005737" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"174" "ATG17" "GO:0034273" "GO:0000407" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"175" "ATG18" "GO:0005774" "GO:0005829" "GO:0005768" "GO:0000407" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"176" "ATG19" "GO:0000407" "GO:0019898" "GO:0034270" "GO:0005737" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"177" "ATG2" "GO:0019898" "GO:0005737" "GO:0000407" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"178" "ATG20" "GO:0005768" "GO:0000407" "GO:0019898" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"179" "ATG21" "GO:0005768" "GO:0005774" "GO:0005829" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"180" "ATG22" "GO:0071627" "GO:0016021" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"181" "ATG23" "GO:0000407" "GO:0019898" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"182" "ATG27" "GO:0016020" "GO:0005739" "GO:0000407" "GO:0005802" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"183" "ATG29" "GO:0005634" "GO:0005737" "GO:0000407" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"184" "ATG3" "GO:0005737" "GO:0005829" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"185" "ATG31" "GO:0000407" "GO:0005737" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"186" "ATG33" "GO:0016021" "GO:0005739" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"187" "ATG38" "GO:0000407" "GO:0005737" "GO:0034271" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"188" "ATG5" "GO:0016020" "GO:0000407" "GO:0005829" "GO:0034274" "GO:0005776" NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"189" "ATG7" "GO:0016020" "GO:0000407" "GO:0005739" "GO:0005829" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"190" "ATG8" "GO:0005773" "GO:0000407" "GO:0019898" "GO:0005829" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"191" "ATG9" "GO:0005739" "GO:0016021" "GO:0000407" "GO:0030659" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"192" "ATH1" "GO:0000324" "GO:0030287" "GO:0009277" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"193" "ATM1" "GO:0016021" "GO:0005739" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"194" "ATO2" "GO:0005739" "GO:0016021" "GO:0005886" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"195" "ATO3" "GO:0005886" "GO:0005739" "GO:0016021" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"196" "ATP1" "GO:0005739" "GO:0016021" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"197" "ATP10" "GO:0005737" "GO:0005739" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"198" "ATP14" "GO:0005739" "GO:0016021" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"199" "ATP15" "GO:0005739" "GO:0016021" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"200" "ATP16" "GO:0005739" "GO:0016021" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"201" "ATP17" "GO:0005739" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"202" "ATP18" "GO:0005739" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"203" "ATP19" "GO:0005739" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"204" "ATP2" "GO:0016021" "GO:0005739" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"205" "ATP20" "GO:0005739" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
