""	"rules"	"support"	"confidence"	"lift"
"348"	"{GO:0035091,GO:0098641} => {GO:0008429}"	0.0172413793103448	1	58
"351"	"{GO:0005544,GO:0098641} => {GO:0008429}"	0.0172413793103448	1	58
"354"	"{GO:0005509,GO:0098641} => {GO:0008429}"	0.0172413793103448	1	58
"357"	"{GO:0005544,GO:0035091} => {GO:0008429}"	0.0172413793103448	1	58
"360"	"{GO:0005509,GO:0035091} => {GO:0008429}"	0.0172413793103448	1	58
"363"	"{GO:0035257,GO:0044822} => {GO:0032947}"	0.0172413793103448	1	58
"364"	"{GO:0032947,GO:0044822} => {GO:0035257}"	0.0172413793103448	1	58
"365"	"{GO:0032947,GO:0035257} => {GO:0044822}"	0.0172413793103448	1	58
"366"	"{GO:0035257,GO:0044822} => {GO:0019904}"	0.0172413793103448	1	58
"367"	"{GO:0019904,GO:0044822} => {GO:0035257}"	0.0172413793103448	1	58
"368"	"{GO:0019904,GO:0035257} => {GO:0044822}"	0.0172413793103448	1	58
"369"	"{GO:0035257,GO:0044822} => {GO:0004535}"	0.0172413793103448	1	58
"370"	"{GO:0004535,GO:0044822} => {GO:0035257}"	0.0172413793103448	1	58
"371"	"{GO:0004535,GO:0035257} => {GO:0044822}"	0.0172413793103448	1	58
"372"	"{GO:0035257,GO:0044822} => {GO:0070016}"	0.0172413793103448	1	58
"373"	"{GO:0044822,GO:0070016} => {GO:0035257}"	0.0172413793103448	1	58
"374"	"{GO:0035257,GO:0070016} => {GO:0044822}"	0.0172413793103448	1	58
"376"	"{GO:0005515,GO:0044822} => {GO:0035257}"	0.0172413793103448	1	58
"377"	"{GO:0005515,GO:0035257} => {GO:0044822}"	0.0172413793103448	1	58
"378"	"{GO:0032947,GO:0044822} => {GO:0019904}"	0.0172413793103448	1	58
"379"	"{GO:0019904,GO:0044822} => {GO:0032947}"	0.0172413793103448	1	58
"380"	"{GO:0019904,GO:0032947} => {GO:0044822}"	0.0172413793103448	1	58
"381"	"{GO:0032947,GO:0044822} => {GO:0004535}"	0.0172413793103448	1	58
"382"	"{GO:0004535,GO:0044822} => {GO:0032947}"	0.0172413793103448	1	58
"383"	"{GO:0004535,GO:0032947} => {GO:0044822}"	0.0172413793103448	1	58
"384"	"{GO:0032947,GO:0044822} => {GO:0070016}"	0.0172413793103448	1	58
"385"	"{GO:0044822,GO:0070016} => {GO:0032947}"	0.0172413793103448	1	58
