"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20"
"59" "AIF1" "GO:0043065" "GO:0000304" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"60" "AIM14" "GO:0032956" "GO:0006915" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"61" "AIM23" "GO:0070124" "GO:0006446" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"62" "AIM3" "GO:0000147" "GO:0051016" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"63" "AIM44" "GO:0000917" "GO:0097271" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"64" "AIM7" "GO:0071846" "GO:0034316" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"65" "AIP1" "GO:0006970" "GO:0030042" "GO:0032466" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"66" "AIR1" "GO:0016070" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"67" "AIR2" "GO:0016070" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"68" "AKL1" "GO:0006468" "GO:0030100" "GO:0030036" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"69" "AKR1" "GO:0006612" "GO:0030100" "GO:0010969" "GO:0018345" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"70" "AKR2" "GO:0018345" "GO:0006897" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"71" "ALA1" "GO:0006419" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"72" "ALD2" "GO:0006081" "GO:0006598" "GO:0019483" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"73" "ALD3" "GO:0006598" "GO:0019483" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"74" "ALD4" "GO:0032787" "GO:0006067" "GO:0006740" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"75" "ALD6" "GO:0009651" "GO:0019413" "GO:0006740" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"76" "ALF1" "GO:0006457" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"77" "ALG1" "GO:0006490" "GO:0006487" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
